period,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
First Lockdown,2020-04-26,-79,-63,-58,-87,-44,14
First Lockdown,2020-04-26,-78,-55,-52,-77,-38,16
First Lockdown,2020-04-26,-85,-52,-71,-76,-41,16
First Lockdown,2020-04-26,-79,-58,-66,-82,-40,14
First Lockdown,2020-04-26,-82,-68,-67,-76,-47,
First Lockdown,2020-04-26,-83,-46,-46,-86,-45,16
First Lockdown,2020-04-26,-84,-59,-39,-77,-41,14
First Lockdown,2020-04-26,-79,-62,-70,-80,-39,15
First Lockdown,2020-04-26,-74,-57,-54,-86,-38,14
First Lockdown,2020-04-26,-77,-60,-68,-78,-40,15
First Lockdown,2020-04-26,-83,-70,-68,-72,-50,
First Lockdown,2020-04-26,-79,-65,-60,,-39,14
First Lockdown,2020-04-26,-84,-53,-70,-77,-46,16
First Lockdown,2020-04-26,-77,,-49,-73,-44,
First Lockdown,2020-04-26,-78,-66,-56,-77,-42,16
First Lockdown,2020-04-26,-84,-63,-59,-70,-42,14
First Lockdown,2020-04-26,-82,-62,-61,-87,-41,15
First Lockdown,2020-04-26,-81,-60,-56,-78,-44,14
First Lockdown,2020-04-26,-83,-60,-72,-91,-48,15
First Lockdown,2020-04-26,-79,-65,-50,-73,-38,15
First Lockdown,2020-04-26,-79,-54,-44,-81,-35,16
First Lockdown,2020-04-26,-87,-55,-82,-79,-48,18
First Lockdown,2020-04-26,-79,-61,-65,-75,-41,15
First Lockdown,2020-04-26,-78,-47,-57,-76,-38,13
First Lockdown,2020-04-26,-90,-76,-77,-83,-55,
First Lockdown,2020-04-26,-77,-61,-63,-69,-40,16
First Lockdown,2020-04-26,-85,-72,-84,-73,-42,16
First Lockdown,2020-04-26,-77,-51,-44,-70,-36,13
First Lockdown,2020-04-26,-80,-63,-66,-81,-43,
First Lockdown,2020-04-26,-80,-59,-59,-71,-40,14
First Lockdown,2020-04-26,-78,-67,-47,,-37,
First Lockdown,2020-04-26,-84,-63,-60,-83,-42,16
First Lockdown,2020-04-26,-82,-57,-67,-75,-40,
First Lockdown,2020-04-26,-82,-57,-59,-82,-42,16
First Lockdown,2020-04-26,-81,-67,-67,-80,-42,15
First Lockdown,2020-04-26,-82,-68,-46,-88,-40,14
First Lockdown,2020-04-26,-82,-61,-74,-79,-42,17
First Lockdown,2020-04-26,-77,-62,-68,-87,-38,14
First Lockdown,2020-04-26,-81,-57,-55,-81,-34,
First Lockdown,2020-04-26,-87,-55,-32,-72,-56,18
First Lockdown,2020-04-26,-82,-60,-64,-80,-40,16
First Lockdown,2020-04-26,-83,-49,-60,-75,-47,15
First Lockdown,2020-04-26,-81,-56,-69,-83,-41,15
First Lockdown,2020-04-26,-83,-56,-69,-81,-42,16
First Lockdown,2020-04-26,-79,-59,-60,-76,-38,16
First Lockdown,2020-04-26,-85,-66,-79,-80,-53,18
First Lockdown,2020-04-26,-72,-60,-54,-70,-39,16
First Lockdown,2020-04-26,-80,-62,-59,-77,-38,14
First Lockdown,2020-04-26,-81,-65,-57,-81,-41,15
First Lockdown,2020-04-26,-85,-68,-56,-82,-39,15
First Lockdown,2020-04-26,,,-53,,-35,
First Lockdown,2020-04-26,-74,-48,-65,-64,-38,
First Lockdown,2020-04-26,-85,-44,-63,-72,-51,17
First Lockdown,2020-04-26,-79,-57,-61,-82,-39,15
First Lockdown,2020-04-26,-85,-61,-71,-84,-43,18
First Lockdown,2020-04-26,-81,-60,-64,-81,-41,16
First Lockdown,2020-04-26,-80,-58,-56,-81,-36,15
First Lockdown,2020-04-26,-77,-47,-59,-75,-37,14
First Lockdown,2020-04-26,-82,-57,-75,-81,-43,16
First Lockdown,2020-04-26,-78,-57,-66,-67,-41,15
First Lockdown,2020-04-26,-80,-53,-64,-86,-37,14
First Lockdown,2020-04-26,-79,-56,-49,-88,-41,14
First Lockdown,2020-04-26,-79,-59,-53,-85,-37,14
First Lockdown,2020-04-26,-80,-53,-49,-76,-37,15
First Lockdown,2020-04-26,-84,-58,-76,-77,-44,16
First Lockdown,2020-04-26,-79,-61,-68,-73,-41,15
First Lockdown,2020-04-26,-84,-63,-70,-67,-42,17
First Lockdown,2020-04-26,-82,-61,-67,-80,-41,16
First Lockdown,2020-04-26,-80,-58,-62,-77,-42,17
First Lockdown,2020-04-26,-87,-53,-65,-86,-49,15
First Lockdown,2020-04-26,-84,-64,-60,-82,-36,15
First Lockdown,2020-04-26,-78,-62,-55,-68,-40,15
First Lockdown,2020-04-26,-78,-58,-43,-80,-39,
First Lockdown,2020-04-26,-80,-66,-50,-85,-42,16
First Lockdown,2020-04-26,-82,-50,-57,-76,-38,14
First Lockdown,2020-04-26,-83,-47,-62,-71,-50,18
First Lockdown,2020-04-26,-80,-66,-62,-80,-42,15
First Lockdown,2020-04-26,-79,-57,-59,-87,-39,16
First Lockdown,2020-04-26,-83,-53,-69,-68,-43,15
First Lockdown,2020-04-26,-78,-50,-44,-80,-39,14
First Lockdown,2020-04-26,-81,-54,-61,-77,-38,14
First Lockdown,2020-04-26,-82,-60,-47,-83,-43,
First Lockdown,2020-04-26,-80,-58,-57,-86,-40,14
First Lockdown,2020-04-26,-83,-58,-68,-84,-43,19
First Lockdown,2020-04-26,-80,-65,-68,-69,-44,16
First Lockdown,2020-04-27,-72,-34,-37,-63,-57,23
First Lockdown,2020-04-27,-76,-40,-45,-75,-59,26
First Lockdown,2020-04-27,-73,-30,-36,-71,-55,25
First Lockdown,2020-04-27,-75,-38,-51,-75,-66,30
First Lockdown,2020-04-27,-75,-37,-50,-74,-61,27
First Lockdown,2020-04-27,-74,-36,-44,-72,-60,24
First Lockdown,2020-04-27,-73,-34,-37,-71,-60,26
First Lockdown,2020-04-27,-72,-33,-32,-81,-57,24
First Lockdown,2020-04-27,-74,-38,-33,-78,-62,24
First Lockdown,2020-04-27,-78,-36,-35,-75,-58,25
First Lockdown,2020-04-27,-77,-38,-69,-71,-61,29
First Lockdown,2020-04-27,-74,-36,-49,-74,-61,27
First Lockdown,2020-04-27,-78,-44,-56,-80,-67,31
First Lockdown,2020-04-27,-75,-27,-53,-82,-72,32
First Lockdown,2020-04-27,-71,-35,-42,-68,-59,25
First Lockdown,2020-04-27,-72,-38,-45,-68,-55,22
First Lockdown,2020-04-27,-74,-35,-43,-77,-65,26
First Lockdown,2020-04-27,-77,-40,-45,-81,-59,27
First Lockdown,2020-04-27,-74,-39,-46,-63,-55,24
First Lockdown,2020-04-27,-73,-41,-34,-78,-56,23
First Lockdown,2020-04-27,-71,-36,-39,-65,-56,24
First Lockdown,2020-04-27,-73,-32,-46,-69,-57,24
First Lockdown,2020-04-27,-75,-41,-44,-71,-55,25
First Lockdown,2020-04-27,-73,-39,-37,-67,-56,22
First Lockdown,2020-04-27,-75,-36,-40,-73,-60,26
First Lockdown,2020-04-27,-76,-36,-56,-76,-65,28
First Lockdown,2020-04-27,-75,-35,-45,-69,-57,24
First Lockdown,2020-04-27,-66,-35,-48,-59,-52,22
First Lockdown,2020-04-27,-75,-34,-42,-65,-60,26
First Lockdown,2020-04-27,-73,-38,-33,-66,-58,24
First Lockdown,2020-04-27,-78,-45,-72,-69,-59,26
First Lockdown,2020-04-27,-76,-27,-64,-74,-75,34
First Lockdown,2020-04-27,-76,-35,-64,-73,-65,27
First Lockdown,2020-04-27,-72,-41,-40,-69,-60,26
First Lockdown,2020-04-27,-72,-36,-39,-68,-59,25
First Lockdown,2020-04-27,-72,-36,-44,-70,-56,25
First Lockdown,2020-04-27,-77,-40,-50,-58,-58,23
First Lockdown,2020-04-27,-67,-38,-33,-79,-58,25
First Lockdown,2020-04-27,-79,-38,-63,-81,-72,34
First Lockdown,2020-04-27,-70,-37,-38,-68,-52,22
First Lockdown,2020-04-27,-75,-39,-55,-70,-59,25
First Lockdown,2020-04-27,-74,-26,-60,-83,-69,31
First Lockdown,2020-04-27,-70,-38,-46,-63,-55,23
First Lockdown,2020-04-27,-71,-36,-42,-66,-55,24
First Lockdown,2020-04-27,-72,-37,-34,-69,-58,24
First Lockdown,2020-04-27,-72,-35,-51,-69,-57,22
First Lockdown,2020-04-27,-72,-38,-25,-77,-53,24
First Lockdown,2020-04-27,-71,-40,-55,-68,-58,25
First Lockdown,2020-04-27,-78,-36,-64,-83,-72,33
First Lockdown,2020-04-27,-72,-35,-34,-72,-62,29
First Lockdown,2020-04-27,-70,-32,-51,-71,-59,23
First Lockdown,2020-04-27,-77,-35,-54,-78,-63,26
First Lockdown,2020-04-27,-75,-35,-20,-63,-57,23
First Lockdown,2020-04-27,-75,-35,-39,-62,-54,23
First Lockdown,2020-04-27,-74,-36,-63,-78,-67,29
First Lockdown,2020-04-27,-78,-42,-47,-79,-64,30
First Lockdown,2020-04-27,-79,-37,-33,-76,-62,26
First Lockdown,2020-04-27,-70,-37,-42,-74,-58,26
First Lockdown,2020-04-27,-76,-39,-43,-76,-58,24
First Lockdown,2020-04-27,-78,-44,-62,-74,-58,24
First Lockdown,2020-04-27,-73,-35,-37,-77,-60,24
First Lockdown,2020-04-27,-76,-38,-46,-78,-54,23
First Lockdown,2020-04-27,-75,-34,-49,-77,-60,27
First Lockdown,2020-04-27,-74,-35,-35,-68,-55,25
First Lockdown,2020-04-27,-79,-40,-40,-75,-62,28
First Lockdown,2020-04-27,-72,-38,-49,-58,-57,22
First Lockdown,2020-04-27,-92,-47,-93,-82,-82,38
First Lockdown,2020-04-27,-71,-39,-25,-68,-55,22
First Lockdown,2020-04-27,-76,-38,-57,-78,-64,29
First Lockdown,2020-04-27,-76,-38,-47,-69,-64,26
First Lockdown,2020-04-27,-77,-35,-46,-75,-63,26
First Lockdown,2020-04-27,-74,-37,-52,-76,-64,26
First Lockdown,2020-04-27,-75,-34,-61,-75,-62,27
First Lockdown,2020-04-27,-81,-31,-78,-79,-75,35
First Lockdown,2020-04-27,-71,-33,-45,-62,-56,24
First Lockdown,2020-04-27,-77,-37,-62,-67,-61,28
First Lockdown,2020-04-27,-74,-41,-64,-76,-63,27
First Lockdown,2020-04-27,-73,-39,-36,-80,-55,24
First Lockdown,2020-04-27,-73,-41,-28,-65,-58,22
First Lockdown,2020-04-27,-74,-37,-54,-73,-61,27
First Lockdown,2020-04-27,-74,-35,-56,-73,-63,26
First Lockdown,2020-04-27,-75,-36,-47,-76,-60,26
First Lockdown,2020-04-27,-74,-34,-53,-74,-65,28
First Lockdown,2020-04-27,-74,-38,-50,-75,-63,27
First Lockdown,2020-04-27,-73,-37,-28,-74,-58,23
First Lockdown,2020-04-27,-76,-24,-45,-70,-72,32
First Lockdown,2020-04-27,-75,-29,-64,-82,-77,35
First Lockdown,2020-04-27,-73,-35,-43,-76,-62,25
First Lockdown,2020-04-27,-83,-47,-78,-82,-62,28
First Lockdown,2020-04-27,-74,-36,-58,-80,-58,24
First Lockdown,2020-04-27,-70,-43,-29,-63,-65,26
First Lockdown,2020-04-27,-77,-41,-47,-78,-61,28
First Lockdown,2020-04-27,-75,-37,-49,-79,-57,24
First Lockdown,2020-04-27,-80,-42,-54,-80,-65,29
First Lockdown,2020-04-27,-68,-37,-33,-61,-58,22
First Lockdown,2020-04-27,-77,-42,-32,-80,-55,25
First Lockdown,2020-04-27,-72,-35,-37,-69,-57,23
First Lockdown,2020-04-27,-73,-36,-46,-75,-53,20
First Lockdown,2020-04-27,-77,-36,-32,-72,-57,25
First Lockdown,2020-04-27,-71,-34,-55,-67,-57,24
First Lockdown,2020-04-27,-66,-32,-25,-65,-55,24
First Lockdown,2020-04-27,-74,-30,-50,-83,-62,27
First Lockdown,2020-04-27,-71,-32,-48,-77,-59,26
First Lockdown,2020-04-27,-83,-31,-68,-80,-81,38
First Lockdown,2020-04-27,-76,-41,-53,-79,-60,26
First Lockdown,2020-04-27,-69,-40,-26,,-55,25
First Lockdown,2020-04-27,-75,-34,-40,-72,-61,25
First Lockdown,2020-04-27,-72,-41,-57,-67,-60,26
First Lockdown,2020-04-27,-74,-35,-42,-72,-63,26
First Lockdown,2020-04-27,-71,-27,-46,-83,-71,33
First Lockdown,2020-04-28,-70,-24,-51,-83,-71,34
First Lockdown,2020-04-28,-92,-42,-93,-81,-83,39
First Lockdown,2020-04-28,-71,-33,-32,-76,-55,24
First Lockdown,2020-04-28,-69,-32,-33,-63,-58,23
First Lockdown,2020-04-28,-73,-34,-56,-73,-63,29
First Lockdown,2020-04-28,-75,-35,-51,-70,-61,28
First Lockdown,2020-04-28,-72,-37,-48,-58,-55,23
First Lockdown,2020-04-28,-73,-34,-51,-64,-56,25
First Lockdown,2020-04-28,-75,-34,-51,-77,-55,24
First Lockdown,2020-04-28,-76,-38,-58,-77,-60,27
First Lockdown,2020-04-28,-75,-28,-39,,-56,23
First Lockdown,2020-04-28,-75,-34,-54,-75,-60,26
First Lockdown,2020-04-28,-73,-28,-41,-66,-57,24
First Lockdown,2020-04-28,-72,-34,-34,-67,-58,25
First Lockdown,2020-04-28,-72,-32,-34,-62,-56,24
First Lockdown,2020-04-28,-76,-35,-45,-73,-59,26
First Lockdown,2020-04-28,-76,-35,-40,-75,-58,26
First Lockdown,2020-04-28,-76,-34,-59,-65,-61,28
First Lockdown,2020-04-28,-84,-28,-70,-80,-81,39
First Lockdown,2020-04-28,-78,-41,-67,-67,-58,25
First Lockdown,2020-04-28,-70,-34,-39,-79,-59,26
First Lockdown,2020-04-28,-75,-32,-46,-66,-56,26
First Lockdown,2020-04-28,-70,-34,-54,-63,-58,26
First Lockdown,2020-04-28,-76,-35,-58,-74,-67,30
First Lockdown,2020-04-28,-76,-37,-60,-79,-66,28
First Lockdown,2020-04-28,-83,-46,-82,-81,-63,30
First Lockdown,2020-04-28,-71,-34,-47,-70,-56,25
First Lockdown,2020-04-28,-71,-33,-52,-63,-59,26
First Lockdown,2020-04-28,-76,-33,-34,-79,-56,26
First Lockdown,2020-04-28,-78,-36,-64,-77,-63,27
First Lockdown,2020-04-28,-72,-34,-48,-69,-59,24
First Lockdown,2020-04-28,-76,-34,-33,-63,-58,26
First Lockdown,2020-04-28,-78,-32,-34,-74,-58,26
First Lockdown,2020-04-28,-76,-34,-50,-75,-61,26
First Lockdown,2020-04-28,-73,-30,-51,-75,-61,28
First Lockdown,2020-04-28,-73,-35,-56,-60,-58,23
First Lockdown,2020-04-28,-75,-35,-57,-77,-63,26
First Lockdown,2020-04-28,-75,-33,-51,-67,-58,24
First Lockdown,2020-04-28,-78,-37,-51,-78,-64,31
First Lockdown,2020-04-28,-73,-35,-60,-72,-61,26
First Lockdown,2020-04-28,-76,-34,-53,-61,-61,27
First Lockdown,2020-04-28,-76,-37,-62,-73,-64,27
First Lockdown,2020-04-28,-74,-37,-49,-75,-58,24
First Lockdown,2020-04-28,-72,-35,-32,-67,-57,24
First Lockdown,2020-04-28,-76,-33,-55,-73,-62,27
First Lockdown,2020-04-28,-75,-36,-46,-78,-62,26
First Lockdown,2020-04-28,-75,-33,-43,-77,-58,26
First Lockdown,2020-04-28,-70,-28,-54,-76,-59,28
First Lockdown,2020-04-28,-76,-33,-53,-79,-57,26
First Lockdown,2020-04-28,-70,-30,-25,-71,-54,25
First Lockdown,2020-04-28,-75,-36,-31,-66,-58,24
First Lockdown,2020-04-28,-73,-34,-38,-59,-55,23
First Lockdown,2020-04-28,-75,-37,-58,-73,-60,26
First Lockdown,2020-04-28,-72,-33,-47,-66,-60,26
First Lockdown,2020-04-28,-73,-38,-38,-66,-61,27
First Lockdown,2020-04-28,-73,-33,-48,-63,-57,24
First Lockdown,2020-04-28,-74,-35,-51,-74,-64,27
First Lockdown,2020-04-28,-81,-29,-80,-78,-75,34
First Lockdown,2020-04-28,-78,-33,-59,-80,-72,35
First Lockdown,2020-04-28,-77,-36,-62,-78,-65,30
First Lockdown,2020-04-28,-73,-23,-64,-83,-69,33
First Lockdown,2020-04-28,-69,-26,-35,-60,-55,23
First Lockdown,2020-04-28,-72,-31,-39,-65,-58,24
First Lockdown,2020-04-28,-78,-33,-58,-77,-63,29
First Lockdown,2020-04-28,-74,-42,-51,-65,-57,23
First Lockdown,2020-04-28,-79,-36,-72,-83,-72,35
First Lockdown,2020-04-28,-76,-35,-59,-77,-66,32
First Lockdown,2020-04-28,-75,-29,-61,-74,-62,28
First Lockdown,2020-04-28,-76,-34,-44,-78,-59,27
First Lockdown,2020-04-28,-76,-35,-43,-77,-61,27
First Lockdown,2020-04-28,-74,-35,-44,-72,-62,31
First Lockdown,2020-04-28,-69,-33,-25,,-55,25
First Lockdown,2020-04-28,-77,-36,-52,-78,-67,31
First Lockdown,2020-04-28,-75,-33,-56,-74,-60,25
First Lockdown,2020-04-28,-75,-28,-60,-81,-72,34
First Lockdown,2020-04-28,-74,-32,-50,-75,-61,28
First Lockdown,2020-04-28,-77,-40,-64,-71,-59,25
First Lockdown,2020-04-28,-67,-27,-29,-59,-56,25
First Lockdown,2020-04-28,-71,-33,-43,-63,-52,22
First Lockdown,2020-04-28,-69,-30,-40,-69,-57,26
First Lockdown,2020-04-28,-76,-35,-46,-50,-58,24
First Lockdown,2020-04-28,-77,-24,-51,-71,-73,33
First Lockdown,2020-04-28,-78,-39,-49,-73,-62,28
First Lockdown,2020-04-28,-75,-35,-64,-77,-60,26
First Lockdown,2020-04-28,-75,-34,-54,-70,-63,28
First Lockdown,2020-04-28,-77,-39,-53,-74,-55,22
First Lockdown,2020-04-28,-74,-36,-39,-70,-55,25
First Lockdown,2020-04-28,-79,-38,-37,-76,-62,27
First Lockdown,2020-04-28,-70,-28,-56,-66,-56,23
First Lockdown,2020-04-28,-65,-32,-51,-57,-53,21
First Lockdown,2020-04-28,-75,-27,-72,-83,-76,37
First Lockdown,2020-04-28,-73,-32,-52,-71,-61,26
First Lockdown,2020-04-28,-75,-41,-50,-70,-56,21
First Lockdown,2020-04-28,-75,-40,-44,-75,-57,24
First Lockdown,2020-04-28,-78,-37,-64,-72,-64,28
First Lockdown,2020-04-28,-73,-33,-44,-67,-59,25
First Lockdown,2020-04-28,-77,-37,-80,-73,-62,31
First Lockdown,2020-04-28,-73,-25,-62,-82,-62,28
First Lockdown,2020-04-28,-74,-34,-49,-74,-63,26
First Lockdown,2020-04-28,-72,-40,-61,-65,-64,28
First Lockdown,2020-04-28,-74,-35,-50,-72,-61,26
First Lockdown,2020-04-28,-75,-24,-65,-74,-75,35
First Lockdown,2020-04-28,-79,-41,-71,-75,-67,30
First Lockdown,2020-04-28,-72,-33,-51,-65,-57,23
First Lockdown,2020-04-28,-77,-34,-60,-76,-65,28
First Lockdown,2020-04-28,-74,-33,-38,-63,-57,22
First Lockdown,2020-04-28,-79,-36,-50,-76,-65,29
First Lockdown,2020-04-28,-74,-33,-40,-60,-55,24
First Lockdown,2020-04-28,-72,-30,-47,-58,-57,24
First Lockdown,2020-04-28,-74,-36,-67,-77,-66,30
First Lockdown,2020-04-29,-67,-30,-26,-70,-53,20
First Lockdown,2020-04-29,-76,-32,-52,-74,-61,27
First Lockdown,2020-04-29,-77,-33,-58,-75,-57,24
First Lockdown,2020-04-29,-76,-33,-54,-72,-58,25
First Lockdown,2020-04-29,-72,-30,-43,-64,-53,19
First Lockdown,2020-04-29,-93,-46,-94,-83,-82,39
First Lockdown,2020-04-29,-85,-32,-77,-81,-80,37
First Lockdown,2020-04-29,-72,-26,-55,-76,-56,24
First Lockdown,2020-04-29,-74,-35,-49,-60,-53,20
First Lockdown,2020-04-29,-79,-33,-47,-74,-56,23
First Lockdown,2020-04-29,-76,-30,-59,-74,-58,25
First Lockdown,2020-04-29,-74,-23,-71,-82,-66,29
First Lockdown,2020-04-29,-78,-35,-38,-78,-52,23
First Lockdown,2020-04-29,-76,-26,-75,-74,-73,33
First Lockdown,2020-04-29,-77,-36,-60,-78,-57,24
First Lockdown,2020-04-29,-75,-28,-56,-78,-54,23
First Lockdown,2020-04-29,-75,-32,-49,-61,-52,22
First Lockdown,2020-04-29,-73,-27,-39,-64,-53,19
First Lockdown,2020-04-29,-75,-28,-62,-69,-62,25
First Lockdown,2020-04-29,-79,-36,-50,-76,-62,25
First Lockdown,2020-04-29,-82,-42,-76,-78,-59,25
First Lockdown,2020-04-29,-71,-27,-54,-67,-56,22
First Lockdown,2020-04-29,-71,-31,-40,-66,-54,23
First Lockdown,2020-04-29,-76,-32,-40,-75,-54,23
First Lockdown,2020-04-29,-75,-35,-68,-74,-60,25
First Lockdown,2020-04-29,-75,-28,-51,-70,-63,25
First Lockdown,2020-04-29,-71,-29,-40,-62,-55,22
First Lockdown,2020-04-29,-71,-31,-33,-57,-53,21
First Lockdown,2020-04-29,-77,-32,-59,-75,-62,27
First Lockdown,2020-04-29,-75,-32,-38,-73,-57,24
First Lockdown,2020-04-29,-79,-34,-69,-78,-60,24
First Lockdown,2020-04-29,-77,-33,-49,-51,-55,21
First Lockdown,2020-04-29,-68,-28,-17,-59,-51,20
First Lockdown,2020-04-29,-77,-31,-52,-74,-58,25
First Lockdown,2020-04-29,-74,-30,-35,-67,-56,22
First Lockdown,2020-04-29,-77,-31,-57,-71,-60,24
First Lockdown,2020-04-29,-72,-31,-47,-55,-53,19
First Lockdown,2020-04-29,-76,-29,-79,-82,-74,33
First Lockdown,2020-04-29,-76,-33,-36,-60,-54,20
First Lockdown,2020-04-29,-66,-31,-50,-52,-49,18
First Lockdown,2020-04-29,-74,-32,-58,-71,-58,25
First Lockdown,2020-04-29,-82,-31,-84,-79,-74,34
First Lockdown,2020-04-29,-76,-33,-54,-62,-58,24
First Lockdown,2020-04-29,-79,-33,-58,-78,-56,23
First Lockdown,2020-04-29,-74,-38,-55,-68,-51,21
First Lockdown,2020-04-29,-72,-24,-35,-66,-52,21
First Lockdown,2020-04-29,-79,-37,-59,-78,-61,28
First Lockdown,2020-04-29,-76,-32,-56,-62,-52,22
First Lockdown,2020-04-29,-78,-27,-65,-71,-71,31
First Lockdown,2020-04-29,-79,-38,-65,-79,-65,29
First Lockdown,2020-04-29,-75,-30,-66,-74,-60,25
First Lockdown,2020-04-29,-75,-28,-51,-70,-54,22
First Lockdown,2020-04-29,-78,-35,-57,-74,-56,24
First Lockdown,2020-04-29,-78,-39,-64,-61,-56,22
First Lockdown,2020-04-29,-77,-37,-54,-68,-52,22
First Lockdown,2020-04-29,-79,-37,-56,-78,-59,26
First Lockdown,2020-04-29,-71,-33,-48,-58,-56,23
First Lockdown,2020-04-29,-73,-38,-56,-66,-51,21
First Lockdown,2020-04-29,-79,-31,-61,-78,-70,32
First Lockdown,2020-04-29,-74,-39,-45,-60,-62,24
First Lockdown,2020-04-29,-74,-29,-56,-69,-60,24
First Lockdown,2020-04-29,-75,-33,-46,-66,-56,23
First Lockdown,2020-04-29,-72,-34,-37,-62,-55,20
First Lockdown,2020-04-29,-76,-28,-55,-72,-58,24
First Lockdown,2020-04-29,-76,-32,-60,-78,-63,25
First Lockdown,2020-04-29,-74,-32,-52,-63,-53,21
First Lockdown,2020-04-29,-74,-32,-49,-73,-61,23
First Lockdown,2020-04-29,-75,-24,-62,-82,-60,25
First Lockdown,2020-04-29,-76,-33,-62,-71,-56,22
First Lockdown,2020-04-29,-68,-33,-25,,-52,22
First Lockdown,2020-04-29,-72,-26,-59,-82,-69,31
First Lockdown,2020-04-29,-74,-32,-35,-68,-59,26
First Lockdown,2020-04-29,-80,-40,-56,-74,-61,26
First Lockdown,2020-04-29,-76,-32,-59,-76,-60,24
First Lockdown,2020-04-29,-74,-31,-47,-71,-60,25
First Lockdown,2020-04-29,-79,-33,-40,-76,-59,25
First Lockdown,2020-04-29,-74,-35,-40,-71,-53,20
First Lockdown,2020-04-29,-78,-37,-55,-80,-57,25
First Lockdown,2020-04-29,-72,-32,-21,-74,-50,21
First Lockdown,2020-04-29,-74,-30,-38,-57,-54,22
First Lockdown,2020-04-29,-73,-31,-54,-75,-54,22
First Lockdown,2020-04-29,-75,-31,-42,-70,-62,27
First Lockdown,2020-04-29,-77,-35,-36,-68,-55,21
First Lockdown,2020-04-29,-75,-32,-54,-74,-51,21
First Lockdown,2020-04-29,-74,-32,-45,-72,-53,23
First Lockdown,2020-04-29,-75,-38,-57,-69,-54,20
First Lockdown,2020-04-29,-77,-34,-60,-77,-59,23
First Lockdown,2020-04-29,-75,-33,-40,-73,-55,21
First Lockdown,2020-04-29,-75,-37,-50,-70,-51,19
First Lockdown,2020-04-29,-76,-38,-46,-74,-55,21
First Lockdown,2020-04-29,-78,-30,-60,-80,-69,30
First Lockdown,2020-04-29,-73,-31,-40,-66,-54,21
First Lockdown,2020-04-29,-70,-26,-53,-62,-54,21
First Lockdown,2020-04-29,-74,-28,-49,-60,-53,22
First Lockdown,2020-04-29,-77,-34,-50,-65,-53,23
First Lockdown,2020-04-29,-76,-31,-57,-73,-57,22
First Lockdown,2020-04-29,-73,-32,-45,-60,-49,20
First Lockdown,2020-04-29,-74,-34,-37,-66,-54,22
First Lockdown,2020-04-29,-76,-39,-47,-69,-59,25
First Lockdown,2020-04-29,-76,-33,-66,-67,-58,26
First Lockdown,2020-04-29,-75,-31,-39,-56,-51,21
First Lockdown,2020-04-29,-75,-32,-68,-77,-63,27
First Lockdown,2020-04-29,-76,-28,-68,-81,-69,31
First Lockdown,2020-04-29,-78,-26,-56,-76,-61,26
First Lockdown,2020-04-29,-72,-32,-28,-68,-52,21
First Lockdown,2020-04-29,-71,-34,-63,-61,-55,23
First Lockdown,2020-04-29,-77,-32,-57,-65,-57,24
First Lockdown,2020-04-29,-78,-37,-61,-72,-61,25
First Lockdown,2020-04-29,-77,-30,-34,-65,-55,23
First Lockdown,2020-04-29,-76,-35,-64,-70,-56,22
First Lockdown,2020-04-30,-66,-12,-59,-80,-70,32
First Lockdown,2020-04-30,-67,-9,-45,-70,-54,22
First Lockdown,2020-04-30,-73,-17,-51,-76,-58,25
First Lockdown,2020-04-30,-72,-12,-48,-73,-59,26
First Lockdown,2020-04-30,-70,-24,-63,-67,-65,27
First Lockdown,2020-04-30,-69,-14,-47,-64,-56,22
First Lockdown,2020-04-30,-71,-17,-59,-71,-61,26
First Lockdown,2020-04-30,-74,-15,-53,-81,-58,26
First Lockdown,2020-04-30,-72,-21,-67,-73,-63,26
First Lockdown,2020-04-30,-75,-22,-51,-78,-61,27
First Lockdown,2020-04-30,-71,-13,-68,-72,-74,34
First Lockdown,2020-04-30,-77,-18,-82,-78,-74,35
First Lockdown,2020-04-30,-69,-17,-56,-65,-55,21
First Lockdown,2020-04-30,-70,-18,-58,-78,-57,24
First Lockdown,2020-04-30,-70,-18,-54,-69,-58,23
First Lockdown,2020-04-30,-77,-21,-63,-77,-64,27
First Lockdown,2020-04-30,-72,-18,-66,-80,-57,25
First Lockdown,2020-04-30,-72,-15,-64,-69,-72,31
First Lockdown,2020-04-30,-72,-18,-45,-67,-57,23
First Lockdown,2020-04-30,-68,-6,-70,-82,-68,31
First Lockdown,2020-04-30,-66,-13,-46,-74,-55,23
First Lockdown,2020-04-30,-70,-15,-42,-59,-53,21
First Lockdown,2020-04-30,-72,-19,-56,-78,-61,24
First Lockdown,2020-04-30,-72,-20,-50,-72,-62,25
First Lockdown,2020-04-30,-74,-14,-62,-73,-62,26
First Lockdown,2020-04-30,-70,-16,-44,-64,-55,21
First Lockdown,2020-04-30,-70,-13,-67,-67,-55,24
First Lockdown,2020-04-30,-81,-15,-69,-79,-80,39
First Lockdown,2020-04-30,-73,-18,-62,-77,-65,30
First Lockdown,2020-04-30,-67,-14,-62,-73,-59,23
First Lockdown,2020-04-30,-74,-14,-50,-78,-62,29
First Lockdown,2020-04-30,-72,-17,-69,-78,-65,29
First Lockdown,2020-04-30,-68,-12,-51,-76,-53,22
First Lockdown,2020-04-30,-71,-16,-59,-77,-62,27
First Lockdown,2020-04-30,-66,-16,-40,-63,-56,21
First Lockdown,2020-04-30,-73,-17,-48,-65,-59,26
